payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4454337,69393365,329000,8880,ONLINE,PAID
4454338,69393398,119600,1800,ONLINE,PAID
4454344,69393841,193200,2880,ONLINE,PAID
4454350,69393999,81240,1200,ONLINE,PAID
4454653,69394490,187200,0,MEAL_BENEFIT,PAID
4457120,69394524,668800,10040,STORE_DIRECT_PAYMENT,PAID
4454366,69394639,312800,4360,ONLINE,PAID
4460209,69394686,176800,2640,PAYMENT_LINK,PAID
4454372,69394997,117600,1760,ONLINE,PAID
4454877,69395018,885320,13280,STORE_DIRECT_PAYMENT,PAID
4454374,69395033,104400,1560,ONLINE,PAID
4454375,69395065,219200,3280,ONLINE,PAID
4454384,69395391,90000,1360,ONLINE,PAID
4454596,69395446,187600,2800,CREDIT,PAID
4454394,69395782,787200,21240,ONLINE,PAID
4454396,69395819,127200,1920,ONLINE,PAID
4454398,69395837,140000,1840,ONLINE,PAID
4454399,69395839,39600,600,ONLINE,PAID
4454416,69396381,85600,1280,ONLINE,PAID
4454417,69396422,469600,0,ONLINE,PAID
4454630,69396423,331600,4960,DEBIT,PAID
4454418,69396448,459200,9200,ONLINE,PAID
4454425,69396586,355600,7120,STORE_DIRECT_PAYMENT,PAID
4454435,69396815,143200,2160,ONLINE,PAID
4454440,69396883,227200,6120,ONLINE,PAID
4454451,69397459,312400,4360,ONLINE,PAID
4454452,69397879,285600,4280,ONLINE,PAID
4454453,69397881,43600,640,ONLINE,PAID
4454454,69397881,20000,0,VOUCHER,PAID
4454457,69398125,107960,1600,ONLINE,PAID
4454458,69398125,48000,0,VOUCHER,PAID
4454459,69398205,363600,5440,ONLINE,PAID
4454460,69398242,124000,2480,ONLINE,PAID
4454464,69398453,342000,4800,ONLINE,PAID
4454466,69398732,406800,11000,ONLINE,PAID
4454467,69398733,2238400,44760,ONLINE,PAID
4454468,69398737,110800,1680,ONLINE,PAID
4454471,69398752,195200,3920,ONLINE,PAID
4454475,69398848,479600,9600,VOUCHER_STORE,PAID
4454519,69398927,162200,2440,ONLINE,PAID
4454481,69399012,143600,2880,ONLINE,PAID
4454483,69399042,123600,0,ONLINE,PAID
4454487,69399218,294400,4400,ONLINE,PAID
4454700,69399466,290400,4360,STORE_DIRECT_PAYMENT,PAID
4454634,69399612,239160,3600,CREDIT,PAID
4454497,69399621,639600,12800,ONLINE,PAID
4454498,69399675,136800,2040,ONLINE,PAID
4454499,69399689,144000,2160,ONLINE,PAID
4454505,69399784,601200,16240,ONLINE,PAID
4454507,69399847,248000,3720,ONLINE,PAID
4454508,69399876,83600,1240,ONLINE,PAID
4454511,69400010,174800,2440,ONLINE,PAID
4454513,69400013,619200,9280,ONLINE,PAID
4454515,69400155,281600,7600,ONLINE,PAID
4454517,69400256,186400,2800,ONLINE,PAID
4454523,69400652,83560,1240,ONLINE,PAID
4454524,69400652,48000,0,VOUCHER,PAID
4454533,69400874,387200,5040,ONLINE,PAID
4454534,69400896,194800,2920,ONLINE,PAID
4454544,69401255,286000,4280,ONLINE,PAID
4454547,69401298,316000,4760,ONLINE,PAID
4454878,69401720,98800,0,MEAL_BENEFIT,PAID
4454571,69402085,307600,4600,ONLINE,PAID
4454572,69402086,334800,9040,ONLINE,PAID
4454876,69402229,274800,4120,STORE_DIRECT_PAYMENT,PAID
